achtgesichterambiwasse_0483|er lag auf der Altane eines Hauses, das er gut kannte, aber in dem er lange nicht gewesen war;
meisterfloh_0094|stets der Heilige Christ einbeschert wurde, auch diesmal der erwachsene Peregrinus die Weihnachtsgaben in Empfang nahm,
achtgesichterambiwasse_0745|Und auch die Mutter sah nicht mehr auf den See hinaus, weil der Sohn nicht heimkehrte
achtgesichterambiwasse_1319|wünschte sich einen Saal voll Schoßhündchen, die um sie spielen sollten. Und die Maler malten ihr diesen Saal.
achtgesichterambiwasse_1867|In der Zeit besetzten wir die ganze Mandschurei, und das soldatenleere Port Arthur war unser.»
meisterfloh_1826|Kam es dem Peregrinus wunderbar vor, daß die Silberfaden aus Gamahehs Gehirn herausrankten in ein
serapionsbruederauswahl_1416|damit ihm die schönste, beste, edelste zufalle als Gattin.
achtgesichterambiwasse_0536|Da lachte Kiri über die Kraft der kleinen Finger, blieb aufrecht sitzen und hörte für eine Weile wieder den Regen.
meisterfloh_2917|welches weder das Präparat von Menschen, Swammerdamm genannt, noch der sich selbst in kleinlicher Mißgunst verzehrende Leuwenhoek besitzen konnte,
meisterfloh_0215|Lange starrte Peregrinus das Weib an, endlich begann er, seltsam lächelnd: »Bist du es, Aline? –
achtgesichterambiwasse_0079|und saß drei Stunden vor Sonnenuntergang schon am Fenster, das auf den See sah.
meisterfloh_0372|Herr Peregrinus entschlug sich mit aller Gewalt des Gedankens, wie es ja ganz unmöglich, daß die Dame, geputzt wie sie war, in
meisterfloh_0295|reiche Kanten bedeckten nur halb den vollen Busen, das lila und gelb gegatterte Kleid von schwerer Seide
serapionsbruederauswahl_1238|niemand in Falun wußte von beiden mehr etwas, da seit Fröboms unglückseligem Hochzeitstage
meisterfloh_1018|Beweis Eurer uneigennützigen Denkungsart. – Wißt, edler Mann! daß Leuwenhoeks, Gamahehs Bemühungen, mich wieder zu erhaschen,
achtgesichterambiwasse_2317|wie der Schaum des Fahrwassers hinter ihrem Schiff.
serapionsbruederauswahl_1175|sein eigentliches Ich hinab in den Mittelpunkt der Erdkugel und ruhe aus in den Armen der Königin,
achtgesichterambiwasse_0718|Aber Kiri, bleich und grau vor kleinlicher Furcht, schlotterte vor Angst und Kälte in seiner dünnen, blauen Leinwandjacke.
serapionsbruederauswahl_0407|und recht aus der innersten Überzeugung mir ein gleiches Schicksal wünscht! Ich gedachte mich zu entfernen,
serapionsbruederauswahl_1098|»Torbern, hier bin ich! –
achtgesichterambiwasse_1254|Warum soll ich nicht heute ihm meinen Sohn schenken!»
meisterfloh_2136|da er ihm sonst einen zerbläuten Rücken recht herzlich gönnen würde.
serapionsbruederauswahl_0606|ein kleiner Beigeschmack davon ist zuweilen nicht ganz übel! – Schweigen wir aber über alles Verfängliche unseres Vereins,
meisterfloh_0505|daß sich nichts mehr regte und bewegte. Die kunstfertigen Flöhe schienen auch eine ganz andre Gestalt angenommen zu haben.
achtgesichterambiwasse_1797|hörte durch seine Leute von der fremden Frau, die Abend für Abend den aufgehenden Herbstmond von Ishiyama erwartete.
serapionsbruederauswahl_0497|du uns seine Gestalt nur in vollem glänzenden Licht, wie sie in deinem Innern lebt, darstellen konntest.
meisterfloh_1940|entfernten Mühle bald sich als Grundton gestaltet, nach dem sich die Gedanken zügeln und formen,
meisterfloh_0383|indem sie mit ersterbender Stimme rief: »Trage mich, trage mich, mein holder Freund!« – Da nahm ohne weiteres Peregrinus
serapionsbruederauswahl_1471|oft nächtliche Spaziergänge machte durch den Park nach dem Kirchhofe zu.
achtgesichterambiwasse_2599|Unter Okuros Freunden war ein japanischer Schriftsteller, welcher den Eindruck nicht vergessen konnte,
meisterfloh_2070|das widerwärtig war und lächerlich zu gleicher Zeit, solche wunderliche Künste trieben,
meisterfloh_2564|und fest zu erklären, daß er auf Dörtjes Hand verzichtet, um seinen besten innigsten Freund, den jungen George Pepusch, der ältere
